# drho                  dvx                     dvy                     dT                      dbx                     dby                     dA
1.8886793790524187e-04	2.9439510204789035e-04	-3.7527964575469717e-03	1.2591195860302620e-04	-6.3624577414590940e-05	8.4378445671013970e-03	2.8399568502702408e-03
5.6800459560284525e-04	8.9689813672436808e-04	-3.7629634796495538e-03	3.7866973040213969e-04	-2.0568812494017180e-04	8.4495535150682418e-03	2.8408915186672653e-03
9.4621056062522361e-04	1.4862707968665619e-03	-3.7833043784086581e-03	6.3080704041680764e-04	-3.3282026695937925e-04	8.4729807591315837e-03	2.8427623722345960e-03
1.3262847622239789e-03	2.0899324167592418e-03	-3.8138441983488654e-03	8.8418984148192457e-04	-4.7462641135042477e-04	8.5081435243680569e-03	2.8455646701560726e-03
1.7059015055124679e-03	2.6810498390455774e-03	-3.8546034879382678e-03	1.1372676703422062e-03	-6.0140598951789748e-04	8.5550698679247670e-03	2.8493029628398484e-03
2.0878519146979788e-03	3.2870289552607793e-03	-3.9056323855494735e-03	1.3919012764650471e-03	-7.4269512843116309e-04	8.6137942571119612e-03	2.8539677493245041e-03
2.4698218290594232e-03	3.8810548290866657e-03	-3.9669652195233537e-03	1.6465478860404684e-03	-8.6888351787150347e-04	8.6843635480299535e-03	2.8595666215166689e-03
2.8545892831109490e-03	4.4905108021928673e-03	-4.0386773013872529e-03	1.9030595220747744e-03	-1.0093911461087554e-03	8.7668294608003287e-03	2.8660852760755036e-03
3.2398575760197047e-03	5.0886095097034227e-03	-4.1208168665908835e-03	2.1599050506794990e-03	-1.1347444221986996e-03	8.8612578009188061e-03	2.8735343596983979e-03
3.6283861797932913e-03	5.7027023490705767e-03	-4.2134845202906257e-03	2.4189241198612314e-03	-1.2741987823012557e-03	8.9677175589360589e-03	2.8818947032668097e-03
4.0179019879629380e-03	6.3060391803041460e-03	-4.3167425831442102e-03	2.6786013253078471e-03	-1.3984655678875718e-03	9.0862937015438253e-03	2.8911800272770835e-03
4.4111401882095669e-03	6.9259296680545535e-03	-4.4307171129448790e-03	2.9407601254713110e-03	-1.5365851923663590e-03	9.2170725109838678e-03	2.9013662114072587e-03
4.8058576851827302e-03	7.5356709584932808e-03	-4.5554847455429853e-03	3.2039051234531157e-03	-1.6595045130227692e-03	9.3601583913493786e-03	2.9124700753550906e-03
5.2047593306423267e-03	8.1625206675998985e-03	-4.6911971865080532e-03	3.4698395537611781e-03	-1.7959957264863519e-03	9.5156549388454095e-03	2.9244624392606696e-03
5.6056388233670686e-03	8.7798338097179983e-03	-4.8379456693402080e-03	3.7370925489124368e-03	-1.9172948660600014e-03	9.6836863392119037e-03	2.9373632546606590e-03
6.0111642072695273e-03	9.4148049551377525e-03	-4.9959077750885454e-03	4.0074428048453327e-03	-2.0518492480885997e-03	9.8643735228105493e-03	2.9511381498281489e-03
6.4191732190971660e-03	1.0040858207161600e-02	-5.1651896698209215e-03	4.2794488127307663e-03	-2.1712416163221920e-03	1.0057860874211528e-02	2.9658102491188672e-03
6.8322901001306793e-03	1.0685113228831278e-02	-5.3459950646859260e-03	4.5548600667541170e-03	-2.3035334316316436e-03	1.0264286672431783e-02	2.9813398313067348e-03
7.2484044378189547e-03	1.1321075191749231e-02	-5.5384454443082303e-03	4.8322696252117679e-03	-2.4207164706616241e-03	1.0483815997727023e-02	2.9977532443536299e-03
7.6700890355109212e-03	1.1975775898450867e-02	-5.7427709222647866e-03	5.1133926903402741e-03	-2.5504000891302114e-03	1.0716604482632987e-02	3.0150052330826082e-03
8.0952938380877068e-03	1.2622814440121260e-02	-5.9591087344590555e-03	5.3968625587242141e-03	-2.6650532708414609e-03	1.0962838489076795e-02	3.0331254316075459e-03
8.5265317984294514e-03	1.3289120420531490e-02	-6.1877156715465908e-03	5.6843545322859141e-03	-2.7917606306478160e-03	1.1222690994597174e-02	3.0520628378606775e-03
8.9618225664053874e-03	1.3948400663473470e-02	-6.4287451898793349e-03	5.9745483776033302e-03	-2.9035436431330552e-03	1.1496370331611468e-02	3.0718504490690017e-03
9.4036098938860332e-03	1.4627466454404516e-02	-6.6824810078629547e-03	6.2690732625907252e-03	-3.0268818664651587e-03	1.1784066798363375e-02	3.0924312731537233e-03
9.8499934984693210e-03	1.5300147157377470e-02	-6.9490932860146650e-03	6.5666623323115889e-03	-3.1354331696121507e-03	1.2086011509989560e-02	3.1138417655461447e-03
1.0303337451739756e-02	1.5993117278219737e-02	-7.2288928513811156e-03	6.8688916344940721e-03	-3.2549825455476522e-03	1.2402412046688245e-02	3.1360186694217810e-03
1.0761833126240000e-02	1.6680344436347628e-02	-7.5220670227713927e-03	7.1745554174915448e-03	-3.3599186244600843e-03	1.2733523274101374e-02	3.1590020170167207e-03
1.1227753077179603e-02	1.7388344726939446e-02	-7.8289537659942815e-03	7.4851687181203656e-03	-3.4752313648252209e-03	1.3079570010939907e-02	3.1827219797871745e-03
1.1699393397643372e-02	1.8091240323971799e-02	-8.1497578964573134e-03	7.7995955984284347e-03	-3.5761472773699066e-03	1.3440832048828219e-02	3.2072223169713095e-03
1.2178921659197404e-02	1.8815362838587202e-02	-8.4848442531936172e-03	8.1192811061327301e-03	-3.6867478013477006e-03	1.3817551424255366e-02	3.2324262903467432e-03
1.2664753530572628e-02	1.9535005112106048e-02	-8.8344352054103084e-03	8.4431690203789003e-03	-3.7832200979509567e-03	1.4210034325385817e-02	3.2583815805641118e-03
1.3158936170062897e-02	2.0276281733777855e-02	-9.1989216426807616e-03	8.7726241133761641e-03	-3.8886082361664354e-03	1.4618540071105520e-02	3.2850041759114029e-03
