# drho                  dvx                     dvy                     dT
2.4509047440064713e-05	1.4632716331944989e-04	2.3339050777602802e-02	1.6340028362170356e-05
7.4228040162136605e-05	4.3961879951642455e-04	2.3339809119336155e-02	4.9486267469221745e-05
1.2369717698203740e-04	7.3293906992065103e-04	2.3341320729848146e-02	8.2466026505073967e-05
1.7431711338215111e-04	1.0275601203523247e-03	2.3343576275981201e-02	1.1621310968413373e-04
2.2513812925834681e-04	1.3228749587572142e-03	2.3346560451505217e-02	1.5009441695267587e-04
2.7756139863531828e-04	1.6201561919508226e-03	2.3350254586628993e-02	1.8504412866850173e-04
3.3063789101017704e-04	1.9187974392731733e-03	2.3354633130107088e-02	2.2042964656050421e-04
3.8576963993909932e-04	2.2200720663956564e-03	2.3359668035768735e-02	2.5718578209006637e-04
4.4200863843889618e-04	2.5233745880733904e-03	2.3365323454014795e-02	2.9468069961280027e-04
5.0075810479357705e-04	2.8299793954668501e-03	2.3371561905955095e-02	3.3385011142432475e-04
5.6107136765137094e-04	3.1392821398211214e-03	2.3378337165961306e-02	3.7406322587638677e-04
6.2435312510423363e-04	3.4525584453247386e-03	2.3385602245788152e-02	4.1625695436770926e-04
6.8965831188073229e-04	3.7692052593829139e-03	2.3393300439985304e-02	4.5980187029603069e-04
7.5839334335423177e-04	4.0904995345420886e-03	2.3401375150663855e-02	5.0563643761356025e-04
8.2961495100825761e-04	4.4158395191514314e-03	2.3409759058350053e-02	5.5313299252508774e-04
9.0473139445856540e-04	4.7465033754508154e-03	2.3418385825828687e-02	6.0323201169600743e-04
9.8280123938941297e-04	5.0818903615302818e-03	2.3427177347020978e-02	6.5530814025044348e-04
1.0652345040986690e-03	5.4232793209058180e-03	2.3436057375879275e-02	7.1030453404650334e-04
1.1510913308985585e-03	5.7700696624989091e-03	2.3444936794282167e-02	7.6759898014735865e-04
1.2417830015862118e-03	6.1235395955386573e-03	2.3453729218996775e-02	8.2813837913652856e-04
1.3363704084574796e-03	6.4830867288934273e-03	2.3462334215387681e-02	8.9130504801888943e-04
1.4362648108197790e-03	6.8499858061175506e-03	2.3470654941236763e-02	9.5805146968500760e-04
1.5405259249621703e-03	7.2236285803051938e-03	2.3478579214657045e-02	1.0277669530407013e-03
1.6505621731112974e-03	7.6052805736202302e-03	2.3485999256512916e-02	1.1014128951048895e-03
1.7654280435167001e-03	7.9943195641808528e-03	2.3492790495643959e-02	1.1783901376502589e-03
1.8865233492110674e-03	8.3919904480209070e-03	2.3498833468853644e-02	1.2596752167731333e-03
2.0128891835315141e-03	8.7976410555500664e-03	2.3503990209833299e-02	1.3446890741065261e-03
2.1459052523263699e-03	9.2124733292344337e-03	2.3508128351917779e-02	1.4344352131397294e-03
2.2845831189005801e-03	9.6357739885135490e-03	2.3511094891178318e-02	1.5283710408167811e-03
2.4302597940936681e-03	1.0068658561865472e-02	2.3512742503026346e-02	1.6275497108335854e-03
2.5818857420278896e-03	1.0510292098258555e-02	2.3512900381570518e-02	1.7314965677899530e-03
2.7407112103282963e-03	1.0961619350650251e-02	2.3511402710387631e-02	1.8413581240232829e-03
2.9055641033480777e-03	1.1421566242109889e-02	2.3508056137044254e-02	1.9567883922740302e-03
3.0775222456212378e-03	1.1890743230538814e-02	2.3502670203157345e-02	2.0791116617298565e-03
3.2551716675026168e-03	1.2367609566151253e-02	2.3495020777808594e-02	2.2082279680214738e-03
3.4392516622354860e-03	1.2852124780139931e-02	2.3484882006257847e-02	2.3458025300902973e-03
3.6278752731560629e-03	1.3341841080685738e-02	2.3471984638859009e-02	2.4922081700094016e-03
3.8211218972431030e-03	1.3835454708533854e-02	2.3456048628016254e-02	2.6497661133740961e-03
4.0161851189617313e-03	1.4328759910612106e-02	2.3436734658169062e-02	2.8197594425999409e-03
4.2118647730578843e-03	1.4818007783540782e-02	2.3413675798239345e-02	3.0057722860468081e-03
4.4035762181740745e-03	1.5295595037803391e-02	2.3386419536341841e-02	3.2108387183224368e-03
4.5876518024418307e-03	1.5753055519088534e-02	2.3354455744389664e-02	3.4409683314230999e-03
4.7560898672329580e-03	1.6176246125342734e-02	2.3317145017258220e-02	3.7025494075386342e-03
4.9005024947933688e-03	1.6547647575271329e-02	2.3273738538700531e-02	4.0062200083000078e-03
5.0063899943824479e-03	1.6840616092499483e-02	2.3223286537960849e-02	4.3647341318737709e-03
5.0564594135581540e-03	1.7020421664253691e-02	2.3164643718119132e-02	4.7974462187541402e-03
5.0240852484955204e-03	1.7036833135519111e-02	2.3096349894537613e-02	5.3289690582618435e-03
4.8756052795103392e-03	1.6822979719654178e-02	2.3016614045258565e-02	5.9946508438275068e-03
4.5625674249105512e-03	1.6285210439377421e-02	2.2923160825413933e-02	6.8404055162408321e-03
4.0227038152526300e-03	1.5298669227787689e-02	2.2813192853326489e-02	7.9294555605957419e-03
3.1710052175125941e-03	1.3693578168263502e-02	2.2683212150239815e-02	9.3432593774724730e-03
1.9001863217443845e-03	1.1247513886771643e-02	2.2528991598506860e-02	1.1188663628032147e-02
7.2933340429208113e-05	7.6701713999843130e-03	2.2345438156083579e-02	1.3597529647140880e-02
-2.4731495452645948e-03	2.5984797777181198e-03	2.2126704726887859e-02	1.6729247498234852e-02
-5.9230566928097700e-03	-4.4065220444870646e-03	2.1866324958284257e-02	2.0759946577643702e-02
-1.0460811657228227e-02	-1.3836214812258545e-02	2.1557842922143175e-02	2.5866210308499966e-02
-1.6238448587311376e-02	-2.6183185288534479e-02	2.1195784848894703e-02	3.2185640991957018e-02
